epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.08184462785720825,0.18253299593925476,0.08184462785720825,0.03435717895627022,0.14188982546329498,0.03435717895627022
1,0.03221230208873749,0.13513292372226715,0.03221230208873749,0.026453590020537376,0.1184680387377739,0.026453590020537376
2,0.028554705902934074,0.12631675601005554,0.028554705902934074,0.028033755719661713,0.12150650471448898,0.028033755719661713
3,0.026696333661675453,0.12159903347492218,0.026696333661675453,0.023929324001073837,0.11129859834909439,0.023929324001073837
4,0.025839107111096382,0.11911439150571823,0.025839107111096382,0.023738127201795578,0.11659222096204758,0.023738127201795578
5,0.025117645040154457,0.11720674484968185,0.025117645040154457,0.025352755561470985,0.11970792710781097,0.025352755561470985
6,0.024623064324259758,0.1158619225025177,0.024623064324259758,0.02086152322590351,0.10596464574337006,0.02086152322590351
7,0.02418571151793003,0.11477698385715485,0.02418571151793003,0.021288391202688217,0.10721734166145325,0.021288391202688217
8,0.023758823052048683,0.1135738343000412,0.023758823052048683,0.020057424902915955,0.1029832735657692,0.020057424902915955
9,0.02351324073970318,0.11296288669109344,0.02351324073970318,0.019640490412712097,0.10204759985208511,0.019640490412712097
10,0.0231693834066391,0.11201462149620056,0.0231693834066391,0.021841222420334816,0.11042319983243942,0.021841222420334816
11,0.023002509027719498,0.11167600005865097,0.023002509027719498,0.02241572178900242,0.10753529518842697,0.02241572178900242
12,0.0227972324937582,0.11107628792524338,0.0227972324937582,0.023766376078128815,0.1099974662065506,0.023766376078128815
13,0.02257443405687809,0.11038690060377121,0.02257443405687809,0.019804036244750023,0.10258881002664566,0.019804036244750023
14,0.022450456395745277,0.1102164015173912,0.022450456395745277,0.02417507767677307,0.11277522146701813,0.02417507767677307
15,0.02227301523089409,0.10967375338077545,0.02227301523089409,0.020780842751264572,0.10334537923336029,0.020780842751264572
16,0.022190989926457405,0.1094362661242485,0.022190989926457405,0.021526582539081573,0.10511982440948486,0.021526582539081573
17,0.022070934996008873,0.10923413932323456,0.022070934996008873,0.020546862855553627,0.10555591434240341,0.020546862855553627
18,0.021938588470220566,0.10885956138372421,0.021938588470220566,0.021168813109397888,0.10648244619369507,0.021168813109397888
19,0.021826915442943573,0.10858636349439621,0.021826915442943573,0.025658810511231422,0.1174066960811615,0.025658810511231422
