epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.08046173304319382,0.18057329952716827,0.08046173304319382,0.026347100734710693,0.11978345364332199,0.026347100734710693
1,0.030684953555464745,0.13119740784168243,0.030684953555464745,0.02660386823117733,0.12102305144071579,0.02660386823117733
2,0.027490969747304916,0.12324477732181549,0.027490969747304916,0.02110620029270649,0.1064641922712326,0.02110620029270649
3,0.026536311954259872,0.12049900740385056,0.026536311954259872,0.025012647733092308,0.11135879904031754,0.025012647733092308
4,0.025878943502902985,0.11884860694408417,0.025878943502902985,0.021314313635230064,0.1081780344247818,0.021314313635230064
5,0.025278836488723755,0.11731286346912384,0.025278836488723755,0.025395622476935387,0.1217903271317482,0.025395622476935387
6,0.024826811626553535,0.116096630692482,0.024826811626553535,0.021614452823996544,0.10566600412130356,0.021614452823996544
7,0.02440246008336544,0.11497723311185837,0.02440246008336544,0.023120319470763206,0.11240434646606445,0.023120319470763206
8,0.02396073378622532,0.1136508658528328,0.02396073378622532,0.02127678133547306,0.10680962353944778,0.02127678133547306
9,0.023659545928239822,0.11294976621866226,0.023659545928239822,0.021743688732385635,0.10523887723684311,0.021743688732385635
10,0.02342052385210991,0.11221637576818466,0.02342052385210991,0.021503187716007233,0.10729870200157166,0.021503187716007233
11,0.023266170173883438,0.1118515357375145,0.023266170173883438,0.02012086659669876,0.10289857536554337,0.02012086659669876
12,0.023068387061357498,0.11136244237422943,0.023068387061357498,0.02050909213721752,0.10363448411226273,0.02050909213721752
13,0.022988013923168182,0.11117933690547943,0.022988013923168182,0.020284991711378098,0.10380002111196518,0.020284991711378098
14,0.022759774699807167,0.1105043888092041,0.022759774699807167,0.021203618496656418,0.10337142646312714,0.021203618496656418
15,0.022651096805930138,0.11026207357645035,0.022651096805930138,0.02149420976638794,0.1073203980922699,0.02149420976638794
16,0.022478867322206497,0.10976016521453857,0.022478867322206497,0.022451700642704964,0.11168142408132553,0.022451700642704964
17,0.02233521267771721,0.10947348177433014,0.02233521267771721,0.022285832092165947,0.10808926820755005,0.022285832092165947
18,0.022264080122113228,0.10930380970239639,0.022264080122113228,0.0205551665276289,0.10262087732553482,0.0205551665276289
19,0.022147860378026962,0.10905898362398148,0.022147860378026962,0.0213969424366951,0.10520019382238388,0.0213969424366951
20,0.022085033357143402,0.10883942991495132,0.022085033357143402,0.022193264216184616,0.10663000494241714,0.022193264216184616
21,0.021971067413687706,0.10856451839208603,0.021971067413687706,0.021345848217606544,0.10618435591459274,0.021345848217606544
