epoch,accuracy,loss,val_accuracy,val_loss
0,0.9993991255760193,0.6915109157562256,1.0,0.6911410689353943
1,1.0,0.6914814710617065,1.0,0.6911827921867371
2,1.0,0.6914750337600708,1.0,0.691196084022522
3,1.0,0.6914628148078918,1.0,0.6911359429359436
4,1.0,0.691448450088501,1.0,0.6914036273956299
5,1.0,0.6914714574813843,1.0,0.6911356449127197
6,1.0,0.6914759874343872,1.0,0.6912133693695068
7,1.0,0.6914758086204529,1.0,0.6912205219268799
8,1.0,0.6914772391319275,1.0,0.6911400556564331
9,1.0,0.691463053226471,1.0,0.6911400556564331
10,1.0,0.6914755702018738,1.0,0.6911355257034302
11,1.0,0.6914690136909485,1.0,0.6911520957946777
12,1.0,0.6914649605751038,1.0,0.6911374926567078
13,1.0,0.6914727687835693,1.0,0.6911526918411255
14,1.0,0.691479504108429,1.0,0.6911338567733765
15,1.0,0.6914770603179932,1.0,0.6912128925323486
16,1.0,0.6914767622947693,1.0,0.691177248954773
17,1.0,0.6914623379707336,1.0,0.6912862658500671
18,1.0,0.691482424736023,1.0,0.6911962032318115
19,1.0,0.691487729549408,1.0,0.6911364197731018
20,1.0,0.6914640069007874,1.0,0.6911607384681702
21,1.0,0.6914675235748291,1.0,0.6911343932151794
22,1.0,0.6914637684822083,1.0,0.691720724105835
23,1.0,0.6914772987365723,1.0,0.6911876201629639
24,1.0,0.6914690732955933,1.0,0.6911312341690063
25,1.0,0.691474199295044,1.0,0.6911225914955139
26,1.0,0.6914699077606201,1.0,0.6911617517471313
27,1.0,0.6914783120155334,1.0,0.691237211227417
28,1.0,0.6914615631103516,1.0,0.6911683082580566
29,1.0,0.6914772391319275,1.0,0.6913244724273682
30,1.0,0.6914694905281067,1.0,0.6911342740058899
31,1.0,0.6914791464805603,1.0,0.6911356449127197
32,1.0,0.6914810538291931,1.0,0.691286027431488
33,1.0,0.6914717555046082,1.0,0.6911359429359436
34,1.0,0.6914698481559753,1.0,0.6911371946334839
35,1.0,0.6914793848991394,1.0,0.6911359429359436
36,1.0,0.691474437713623,1.0,0.6913179755210876
37,1.0,0.6914715766906738,1.0,0.6911756992340088
38,1.0,0.6914711594581604,1.0,0.6911292672157288
39,1.0,0.6914705038070679,1.0,0.6913561820983887
40,1.0,0.6914770603179932,1.0,0.6911489367485046
41,1.0,0.6914713382720947,1.0,0.691237211227417
42,1.0,0.6914809346199036,1.0,0.6911365985870361
43,1.0,0.6914680600166321,1.0,0.6911457180976868
44,1.0,0.6914876103401184,1.0,0.691137969493866
45,1.0,0.6914799809455872,1.0,0.6911447644233704
46,1.0,0.6914559602737427,1.0,0.6911522150039673
47,1.0,0.6914704442024231,1.0,0.6911982297897339
48,1.0,0.6914798617362976,1.0,0.6911519765853882
49,1.0,0.6914664506912231,1.0,0.6911611557006836
50,1.0,0.6914730072021484,1.0,0.691137969493866
51,1.0,0.6914603114128113,1.0,0.6911353468894958
52,1.0,0.6914746165275574,1.0,0.6911521553993225
53,1.0,0.6914787292480469,1.0,0.6911919713020325
54,1.0,0.6914795637130737,1.0,0.6911802887916565
55,1.0,0.6914739608764648,1.0,0.6913552284240723
