epoch,accuracy,loss,val_accuracy,val_loss
0,0.9856201410293579,0.6916998028755188,1.0,0.6911938190460205
1,0.9955456256866455,0.691536009311676,1.0,0.6911930441856384
2,0.9940260052680969,0.6914881467819214,1.0,0.6914433836936951
3,0.9925738573074341,0.6914603114128113,0.9985195994377136,0.6912938952445984
4,0.9882283210754395,0.6914080381393433,0.9895753860473633,0.691320538520813
5,0.9797593355178833,0.6912592053413391,0.9814083576202393,0.6916018724441528
6,0.9636029601097107,0.69107985496521,0.9166399240493774,0.6918119192123413
7,0.953028678894043,0.6908953785896301,0.9845789670944214,0.6920177340507507
8,0.9378106594085693,0.6906436085700989,0.9731303453445435,0.6920241713523865
9,0.9165489077568054,0.6903249025344849,0.9646919369697571,0.6921586394309998
10,0.9109254479408264,0.6901047825813293,0.9378222823143005,0.6928428411483765
11,0.8967241048812866,0.6897433400154114,0.9360581040382385,0.6926828026771545
12,0.8848936557769775,0.6894179582595825,0.8332058787345886,0.693333089351654
13,0.8798819184303284,0.6891856789588928,0.8862172961235046,0.6934064626693726
14,0.8625520467758179,0.6888356804847717,0.9185028076171875,0.6935912370681763
15,0.8661007881164551,0.6885187029838562,0.8620864152908325,0.6944037079811096
16,0.8572616577148438,0.6883214712142944,0.8546842932701111,0.6941676735877991
17,0.8570483326911926,0.6880854964256287,0.8177354335784912,0.6955040693283081
18,0.8478260636329651,0.6877817511558533,0.8726467490196228,0.6949469447135925
19,0.8448259830474854,0.6874894499778748,0.8331071734428406,0.6951716542243958
20,0.8407177329063416,0.6872783899307251,0.8773594498634338,0.6956113576889038
21,0.8376044631004333,0.6870225071907043,0.8677243590354919,0.6955214142799377
22,0.8376240730285645,0.6868481040000916,0.8776801824569702,0.6957711577415466
23,0.8343583941459656,0.6865944266319275,0.8792963027954102,0.6956849694252014
24,0.8367771506309509,0.6864901781082153,0.8336993455886841,0.6968324184417725
25,0.8317197561264038,0.6862563490867615,0.8273211717605591,0.696975588798523
26,0.8320963382720947,0.6861041784286499,0.8558809757232666,0.6963893175125122
27,0.8308097124099731,0.6858895421028137,0.8302696943283081,0.6973376274108887
28,0.8293270468711853,0.6858022809028625,0.8376964926719666,0.6985040307044983
29,0.8304004073143005,0.6855773329734802,0.8362777233123779,0.6973950862884521
30,0.8287675380706787,0.685431718826294,0.8313429951667786,0.6980740427970886
31,0.8282341361045837,0.6853811144828796,0.8476523160934448,0.6976955533027649
