epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.09548157453536987,0.20345278084278107,0.09548157453536987,0.035661958158016205,0.13902325928211212,0.035661958158016205
1,0.03894955664873123,0.14712758362293243,0.03894955664873123,0.030633702874183655,0.1302313357591629,0.030633702874183655
2,0.034790534526109695,0.13786748051643372,0.034790534526109695,0.038631949573755264,0.15376251935958862,0.038631949573755264
3,0.03316234052181244,0.13409604132175446,0.03316234052181244,0.031782519072294235,0.13144844770431519,0.031782519072294235
4,0.03209758922457695,0.1314757615327835,0.03209758922457695,0.028119200840592384,0.11932758241891861,0.028119200840592384
5,0.031135758385062218,0.12905332446098328,0.031135758385062218,0.03160163015127182,0.12541736662387848,0.03160163015127182
6,0.03034425713121891,0.1272004395723343,0.03034425713121891,0.02854313515126705,0.1233319342136383,0.02854313515126705
7,0.029781285673379898,0.12584707140922546,0.029781285673379898,0.027411608025431633,0.1172240749001503,0.027411608025431633
8,0.02934875525534153,0.12473688274621964,0.02934875525534153,0.02648462913930416,0.11443828791379929,0.02648462913930416
9,0.028952568769454956,0.12377440184354782,0.028952568769454956,0.026314424350857735,0.1149379163980484,0.026314424350857735
10,0.0286151934415102,0.12294384837150574,0.0286151934415102,0.02830231375992298,0.12047130614519119,0.02830231375992298
11,0.02846321277320385,0.122639499604702,0.02846321277320385,0.025634892284870148,0.11212694644927979,0.025634892284870148
12,0.028142012655735016,0.12184145301580429,0.028142012655735016,0.029681075364351273,0.1270235925912857,0.029681075364351273
13,0.02794555202126503,0.12127358466386795,0.02794555202126503,0.02695368230342865,0.11676009744405746,0.02695368230342865
14,0.027770470827817917,0.12098947167396545,0.027770470827817917,0.029124189168214798,0.12018439173698425,0.029124189168214798
15,0.027753815054893494,0.12103535979986191,0.027753815054893494,0.029806001111865044,0.1275046020746231,0.029806001111865044
16,0.02748377062380314,0.12043377757072449,0.02748377062380314,0.03022104874253273,0.12220750004053116,0.03022104874253273
17,0.027316996827721596,0.12008456140756607,0.027316996827721596,0.027817893773317337,0.11839470267295837,0.027817893773317337
18,0.02728632651269436,0.120041124522686,0.02728632651269436,0.027865547686815262,0.11715991050004959,0.027865547686815262
19,0.027133887633681297,0.11968354880809784,0.027133887633681297,0.027304230257868767,0.11710856109857559,0.027304230257868767
20,0.026970654726028442,0.11931497603654861,0.026970654726028442,0.029238997027277946,0.12220935523509979,0.029238997027277946
21,0.02694774605333805,0.11943281441926956,0.02694774605333805,0.026915330439805984,0.11639563739299774,0.026915330439805984
22,0.026821473613381386,0.11907823383808136,0.026821473613381386,0.02715049870312214,0.11841108649969101,0.02715049870312214
23,0.026710083708167076,0.11886154860258102,0.026710083708167076,0.028872886672616005,0.12012818455696106,0.028872886672616005
24,0.026563066989183426,0.11857621371746063,0.026563066989183426,0.027257410809397697,0.11684712767601013,0.027257410809397697
25,0.026516826823353767,0.11858424544334412,0.026516826823353767,0.02759036049246788,0.11559291183948517,0.02759036049246788
26,0.0263050589710474,0.1181340366601944,0.0263050589710474,0.02946273609995842,0.12181141972541809,0.02946273609995842
27,0.026275547221302986,0.1181035190820694,0.026275547221302986,0.029765523970127106,0.12355327606201172,0.029765523970127106
28,0.026248304173350334,0.11804254353046417,0.026248304173350334,0.026030737906694412,0.11337509006261826,0.026030737906694412
29,0.026095574721693993,0.11763620376586914,0.026095574721693993,0.027200791984796524,0.11501623690128326,0.027200791984796524
30,0.02603500336408615,0.1175934448838234,0.02603500336408615,0.027112144976854324,0.11530476063489914,0.027112144976854324
31,0.025916388258337975,0.11744918674230576,0.025916388258337975,0.028347188606858253,0.11976386606693268,0.028347188606858253
