epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,69.92510986328125,0.49493908882141113,69.92510986328125,0.05208168551325798,0.17494812607765198,0.05208168551325798
1,0.05430169031023979,0.17847482860088348,0.05430169031023979,0.037932854145765305,0.14609427750110626,0.037932854145765305
2,0.04301397502422333,0.15678057074546814,0.04301397502422333,0.03669533133506775,0.14436694979667664,0.03669533133506775
3,0.03527364134788513,0.13912585377693176,0.03527364134788513,0.03203317150473595,0.13610069453716278,0.03203317150473595
4,0.032330140471458435,0.1314692497253418,0.032330140471458435,0.028689095750451088,0.12207578122615814,0.028689095750451088
5,0.030995314940810204,0.1284070760011673,0.030995314940810204,0.027587339282035828,0.11865153908729553,0.027587339282035828
6,0.030184172093868256,0.12649360299110413,0.030184172093868256,0.026928890496492386,0.11960788071155548,0.026928890496492386
7,0.029716577380895615,0.12544851005077362,0.029716577380895615,0.026530424132943153,0.1159312054514885,0.026530424132943153
8,0.02934553101658821,0.12456990778446198,0.02934553101658821,0.030071789398789406,0.12881681323051453,0.030071789398789406
9,0.02906852774322033,0.1239309161901474,0.02906852774322033,0.026127951219677925,0.11521916091442108,0.026127951219677925
10,0.028829770162701607,0.12353500723838806,0.028829770162701607,0.026436293497681618,0.11561451852321625,0.026436293497681618
11,0.028614621609449387,0.12299580127000809,0.028614621609449387,0.02630116604268551,0.1144556924700737,0.02630116604268551
12,0.028413455933332443,0.1226540058851242,0.028413455933332443,0.028025083243846893,0.11713401973247528,0.028025083243846893
13,0.028219206258654594,0.12224177271127701,0.028219206258654594,0.027638321742415428,0.11889641731977463,0.027638321742415428
14,0.02805497497320175,0.12185455858707428,0.02805497497320175,0.030527932569384575,0.12438727915287018,0.030527932569384575
15,0.02789490856230259,0.12160444259643555,0.02789490856230259,0.028391489759087563,0.11828283220529556,0.028391489759087563
16,0.027744503691792488,0.12125115841627121,0.027744503691792488,0.026693662628531456,0.11546512693166733,0.026693662628531456
17,0.02768615633249283,0.12117268890142441,0.02768615633249283,0.028055137023329735,0.11883586645126343,0.028055137023329735
18,0.027553627267479897,0.12092198431491852,0.027553627267479897,0.02906426042318344,0.12590135633945465,0.02906426042318344
19,0.027450012043118477,0.12073128670454025,0.027450012043118477,0.029542870819568634,0.12230145931243896,0.029542870819568634
20,0.027340272441506386,0.12051613628864288,0.027340272441506386,0.026619471609592438,0.11499184370040894,0.026619471609592438
21,0.02726215310394764,0.12030895054340363,0.02726215310394764,0.027864888310432434,0.11672921478748322,0.027864888310432434
22,0.0271317008882761,0.12010547518730164,0.0271317008882761,0.02758653275668621,0.11749038100242615,0.02758653275668621
23,0.027116255834698677,0.12002390623092651,0.027116255834698677,0.026555029675364494,0.11593054234981537,0.026555029675364494
24,0.026903845369815826,0.11971256136894226,0.026903845369815826,0.029001815244555473,0.11808379739522934,0.029001815244555473
25,0.026893649250268936,0.1196720227599144,0.026893649250268936,0.029603024944663048,0.12255039811134338,0.029603024944663048
26,0.026826685294508934,0.11963436752557755,0.026826685294508934,0.028010262176394463,0.11916930973529816,0.028010262176394463
27,0.026688186451792717,0.1192479357123375,0.026688186451792717,0.026475097984075546,0.11538899689912796,0.026475097984075546
28,0.026651019230484962,0.1192348524928093,0.026651019230484962,0.02864893712103367,0.12035179138183594,0.02864893712103367
29,0.02655397541821003,0.11901611089706421,0.02655397541821003,0.031177518889307976,0.1246795579791069,0.031177518889307976
