epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,185.34698486328125,0.6582561135292053,185.34698486328125,0.0973418727517128,0.25556913018226624,0.0973418727517128
1,0.05233455076813698,0.17726436257362366,0.05233455076813698,0.03639383241534233,0.14911489188671112,0.03639383241534233
2,0.03665230795741081,0.14702366292476654,0.03665230795741081,0.030541224405169487,0.13284216821193695,0.030541224405169487
3,0.031547799706459045,0.13534721732139587,0.031547799706459045,0.036135707050561905,0.1473229080438614,0.036135707050561905
4,0.028559643775224686,0.12786082923412323,0.028559643775224686,0.021950727328658104,0.11029563099145889,0.021950727328658104
5,0.02520047500729561,0.11859848350286484,0.02520047500729561,0.01854727976024151,0.1001083180308342,0.01854727976024151
6,0.023234231397509575,0.11286769807338715,0.023234231397509575,0.02388221025466919,0.11385772377252579,0.02388221025466919
7,0.02238652855157852,0.11058206111192703,0.02238652855157852,0.018495971336960793,0.1009044349193573,0.018495971336960793
8,0.021910790354013443,0.10919918119907379,0.021910790354013443,0.0180500615388155,0.09685975313186646,0.0180500615388155
9,0.021584443747997284,0.10836613923311234,0.021584443747997284,0.017876671627163887,0.0974293202161789,0.017876671627163887
10,0.021250803023576736,0.10735592246055603,0.021250803023576736,0.01851077936589718,0.10152041167020798,0.01851077936589718
11,0.02095135487616062,0.1066724881529808,0.02095135487616062,0.017498131841421127,0.09593601524829865,0.017498131841421127
12,0.02080017700791359,0.10623885691165924,0.02080017700791359,0.01760788820683956,0.09690196812152863,0.01760788820683956
13,0.02061564475297928,0.10583223402500153,0.02061564475297928,0.020882803946733475,0.10273012518882751,0.020882803946733475
14,0.020443586632609367,0.10534008592367172,0.020443586632609367,0.019281672313809395,0.0991731658577919,0.019281672313809395
15,0.020354876294732094,0.10507170110940933,0.020354876294732094,0.020347096025943756,0.10675588250160217,0.020347096025943756
16,0.020242134109139442,0.10483956336975098,0.020242134109139442,0.02015734277665615,0.10175499320030212,0.02015734277665615
17,0.02014654129743576,0.10465221107006073,0.02014654129743576,0.02041994221508503,0.10579488426446915,0.02041994221508503
18,0.020053721964359283,0.10440794378519058,0.020053721964359283,0.018023714423179626,0.09791907668113708,0.018023714423179626
19,0.019932912662625313,0.10414830595254898,0.019932912662625313,0.019855836406350136,0.10251317173242569,0.019855836406350136
20,0.01984914019703865,0.10395372658967972,0.01984914019703865,0.018899230286478996,0.10216160863637924,0.018899230286478996
21,0.019755737856030464,0.10383708029985428,0.019755737856030464,0.019437473267316818,0.10092978179454803,0.019437473267316818
22,0.01968829147517681,0.10366222262382507,0.01968829147517681,0.020152579993009567,0.10223782807588577,0.020152579993009567
23,0.01963813602924347,0.10362815856933594,0.01963813602924347,0.018726369366049767,0.09830421209335327,0.018726369366049767
24,0.01959812641143799,0.10355782508850098,0.01959812641143799,0.018088040873408318,0.0981057658791542,0.018088040873408318
25,0.019479313865303993,0.1031716912984848,0.019479313865303993,0.01816370151937008,0.09717094153165817,0.01816370151937008
26,0.019472626969218254,0.10320902615785599,0.019472626969218254,0.01883443258702755,0.09776627272367477,0.01883443258702755
27,0.019385436549782753,0.1029718667268753,0.019385436549782753,0.021245235577225685,0.10939455032348633,0.021245235577225685
28,0.019316144287586212,0.10285630077123642,0.019316144287586212,0.01977902092039585,0.10010544210672379,0.01977902092039585
29,0.019246408715844154,0.10266604274511337,0.019246408715844154,0.021618550643324852,0.10866425186395645,0.021618550643324852
30,0.019201554358005524,0.10260595381259918,0.019201554358005524,0.02278169058263302,0.11234568804502487,0.02278169058263302
31,0.019095895811915398,0.10229191929101944,0.019095895811915398,0.019015375524759293,0.09926438331604004,0.019015375524759293
