epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.07237047702074051,0.1839166283607483,0.07237047702074051,0.04581863433122635,0.169707253575325,0.04581863433122635
1,0.0336308479309082,0.1391778439283371,0.0336308479309082,0.022477008402347565,0.1101570799946785,0.022477008402347565
2,0.029541006311774254,0.12925603985786438,0.029541006311774254,0.02428380586206913,0.11640772223472595,0.02428380586206913
3,0.02755332924425602,0.12389479577541351,0.02755332924425602,0.021066436544060707,0.1063164621591568,0.021066436544060707
4,0.02614542841911316,0.1201874241232872,0.02614542841911316,0.021005991846323013,0.1048419326543808,0.021005991846323013
5,0.025020558387041092,0.11706120520830154,0.025020558387041092,0.01987750455737114,0.10216668248176575,0.01987750455737114
6,0.02426508255302906,0.1150403544306755,0.02426508255302906,0.023313703015446663,0.10965542495250702,0.023313703015446663
7,0.023658907040953636,0.11346061527729034,0.023658907040953636,0.02880140207707882,0.12383021414279938,0.02880140207707882
8,0.023325741291046143,0.11269079148769379,0.023325741291046143,0.018868347629904747,0.09974689781665802,0.018868347629904747
9,0.023014474660158157,0.11183670908212662,0.023014474660158157,0.02043362706899643,0.10405996441841125,0.02043362706899643
10,0.022794900462031364,0.11132900416851044,0.022794900462031364,0.026004822924733162,0.11820906400680542,0.026004822924733162
11,0.02250784821808338,0.11067389696836472,0.02250784821808338,0.02052157185971737,0.10320495069026947,0.02052157185971737
12,0.02241184562444687,0.11051687598228455,0.02241184562444687,0.023479612544178963,0.11065126210451126,0.023479612544178963
13,0.02220134250819683,0.11004892736673355,0.02220134250819683,0.02098974771797657,0.106439009308815,0.02098974771797657
14,0.021958578377962112,0.10929550975561142,0.021958578377962112,0.021229183301329613,0.1070939376950264,0.021229183301329613
15,0.02188730239868164,0.10926303267478943,0.02188730239868164,0.02049889974296093,0.10297699272632599,0.02049889974296093
16,0.021711241453886032,0.10888093709945679,0.021711241453886032,0.021688418462872505,0.10909610986709595,0.021688418462872505
17,0.021613065153360367,0.10860336571931839,0.021613065153360367,0.02574007771909237,0.11866447329521179,0.02574007771909237
18,0.021449271589517593,0.10823046416044235,0.021449271589517593,0.02127808891236782,0.10739156603813171,0.02127808891236782
19,0.021321186795830727,0.10795865207910538,0.021321186795830727,0.021054642274975777,0.10563509166240692,0.021054642274975777
20,0.021210214123129845,0.10771346837282181,0.021210214123129845,0.019807828590273857,0.10091479122638702,0.019807828590273857
21,0.021136101335287094,0.1076321080327034,0.021136101335287094,0.02072387933731079,0.10269122570753098,0.02072387933731079
22,0.021021932363510132,0.10727770626544952,0.021021932363510132,0.02054704912006855,0.10270069539546967,0.02054704912006855
23,0.020888155326247215,0.10704917460680008,0.020888155326247215,0.020789992064237595,0.10426919907331467,0.020789992064237595
24,0.02083165943622589,0.10698836296796799,0.02083165943622589,0.02176138386130333,0.10749982297420502,0.02176138386130333
25,0.020705506205558777,0.10665242373943329,0.020705506205558777,0.02167433686554432,0.10686890780925751,0.02167433686554432
26,0.02058652602136135,0.10634087026119232,0.02058652602136135,0.021683743223547935,0.10660932958126068,0.021683743223547935
27,0.020513193681836128,0.10617532581090927,0.020513193681836128,0.020444272086024284,0.10164456814527512,0.020444272086024284
28,0.020418988540768623,0.10595525801181793,0.020418988540768623,0.020458560436964035,0.10322935879230499,0.020458560436964035
