epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,147.0258026123047,0.5631629824638367,147.0258026123047,0.03809347748756409,0.15045183897018433,0.03809347748756409
1,0.043018873780965805,0.15959833562374115,0.043018873780965805,0.030274944379925728,0.12806585431098938,0.030274944379925728
2,0.032069433480501175,0.1356755942106247,0.032069433480501175,0.027158863842487335,0.12452048808336258,0.027158863842487335
3,0.028028840199112892,0.1250544786453247,0.028028840199112892,0.02187901921570301,0.108382448554039,0.02187901921570301
4,0.025809790939092636,0.11885907500982285,0.025809790939092636,0.02208641730248928,0.10805447399616241,0.02208641730248928
5,0.024740533903241158,0.11593891680240631,0.024740533903241158,0.024411913007497787,0.1096545085310936,0.024411913007497787
6,0.02412477880716324,0.1141909584403038,0.02412477880716324,0.021307263523340225,0.1067793145775795,0.021307263523340225
7,0.023729970678687096,0.11319201439619064,0.023729970678687096,0.019049368798732758,0.10009931027889252,0.019049368798732758
8,0.023331495001912117,0.11219952255487442,0.023331495001912117,0.02099555917084217,0.10315953195095062,0.02099555917084217
9,0.02319752238690853,0.11187201738357544,0.02319752238690853,0.023431094363331795,0.10854829847812653,0.023431094363331795
10,0.022983262315392494,0.11132966727018356,0.022983262315392494,0.019556939601898193,0.10084669291973114,0.019556939601898193
11,0.022750936448574066,0.11069302260875702,0.022750936448574066,0.021998219192028046,0.11143180727958679,0.021998219192028046
12,0.022690875455737114,0.11067613959312439,0.022690875455737114,0.02112111635506153,0.10426841676235199,0.02112111635506153
13,0.022575994953513145,0.11032003164291382,0.022575994953513145,0.020574109628796577,0.101944699883461,0.020574109628796577
14,0.022314975038170815,0.10962818562984467,0.022314975038170815,0.02034134976565838,0.10212234407663345,0.02034134976565838
15,0.022235272452235222,0.1096271201968193,0.022235272452235222,0.02326325885951519,0.11138705164194107,0.02326325885951519
16,0.02218283712863922,0.10944093763828278,0.02218283712863922,0.02206989750266075,0.109297975897789,0.02206989750266075
17,0.022050218656659126,0.10914656519889832,0.022050218656659126,0.02138338051736355,0.10695046931505203,0.02138338051736355
18,0.022072775289416313,0.10918714106082916,0.022072775289416313,0.02256210520863533,0.11303963512182236,0.02256210520863533
19,0.02185504324734211,0.10880119353532791,0.02185504324734211,0.021469751372933388,0.108220674097538,0.021469751372933388
20,0.021837644279003143,0.10884813219308853,0.021837644279003143,0.02032247930765152,0.10232312232255936,0.02032247930765152
21,0.021733155474066734,0.10854208469390869,0.021733155474066734,0.02135830745100975,0.10586756467819214,0.02135830745100975
22,0.021625377237796783,0.10825768113136292,0.021625377237796783,0.01992214471101761,0.1016751229763031,0.01992214471101761
23,0.02160028927028179,0.10822315514087677,0.02160028927028179,0.020879754796624184,0.10347354412078857,0.020879754796624184
24,0.02146020717918873,0.10783211886882782,0.02146020717918873,0.021042851731181145,0.10358283668756485,0.021042851731181145
25,0.021403206512331963,0.10777352005243301,0.021403206512331963,0.021351570263504982,0.10583800077438354,0.021351570263504982
26,0.021326355636119843,0.1075705960392952,0.021326355636119843,0.022044861689209938,0.11047013849020004,0.022044861689209938
27,0.021214080974459648,0.10737345367670059,0.021214080974459648,0.023074382916092873,0.10777805000543594,0.023074382916092873
